URL,Title,Sub Title,Rating,"Reviews ",Price,Description and Shipping,ASIN,Image URL
,,,4.4 out of 5 stars.|4.6 out of 5 stars.|4.4 out of 5 stars.,,,,,
,,,,,,,,
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Njc0NTY2NDIwNTUyNDA1OjE2Njc5NDYyNzU6c3BfYXRmOjIwMDAzMDExNTQwNDYyMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMaybelline-New-York-Eyeliner-Waterproof%2Fdp%2FB07W8JJ61X%2Fref%3Dsr_1_1_sns_sspa%3Fcrid%3D3MFUSBY30FHA4%26keywords%3Dlakme%2Beyeliner%26qid%3D1667946275%26sprefix%3Dlakme%2Beyeliner%252Caps%252C107%26sr%3D8-1-spons%26psc%3D1,"Maybelline Hyper Easy Liquid Pen No-Skip Eyeliner, Satin Finish, Waterproof Formula, Eye Liner Makeup, Pitch Black, 0.018 Fl; Oz",Sponsored,4.4 out of 5 stars,"53,767",$7.58,"First Delivery Wed, Nov 9",B07W8JJ61X,https://m.media-amazon.com/images/I/61UyrYQ2BrL._AC_UL320_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Njc0NTY2NDIwNTUyNDA1OjE2Njc5NDYyNzU6c3BfYXRmOjIwMDAyMjEwNDg2NzY4MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FLOreal-Paris-Infallible-Mechanical-Sharpener%2Fdp%2FB07QMKK98Q%2Fref%3Dsr_1_2_sns_sspa%3Fcrid%3D3MFUSBY30FHA4%26keywords%3Dlakme%2Beyeliner%26qid%3D1667946275%26sprefix%3Dlakme%2Beyeliner%252Caps%252C107%26sr%3D8-2-spons%26psc%3D1,"L'Oreal Paris Makeup Infallible Never Fail Original Mechanical Pencil Eyeliner with Built in Sharpener, Black Brown, 2 Count",Sponsored,4.5 out of 5 stars,"21,807",$14.38,"First Delivery Wed, Nov 9",B07QMKK98Q,https://m.media-amazon.com/images/I/713EvGUV2wL._AC_UL320_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Njc0NTY2NDIwNTUyNDA1OjE2Njc5NDYyNzU6c3BfYXRmOjIwMDA2Mjk3NzE0ODY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FLOreal-Paris-Infallible-Precision-Waterproof%2Fdp%2FB09S8HDMJM%2Fref%3Dsr_1_3_sns_sspa%3Fcrid%3D3MFUSBY30FHA4%26keywords%3Dlakme%2Beyeliner%26qid%3D1667946275%26sprefix%3Dlakme%2Beyeliner%252Caps%252C107%26sr%3D8-3-spons%26psc%3D1,"L'Oreal Paris L’Oreal Paris Makeup Infallible Grip Precision Felt Eyeliner, Smudge Resistant, Long Lasting Waterproof Eyeliner, Grey, Grey, 0.03 fl oz",Sponsored,4.3 out of 5 stars,659,$8.54,"First Delivery Wed, Nov 9",B09S8HDMJM,https://m.media-amazon.com/images/I/61R+E-8BUgL._AC_UL320_.jpg
https://www.amazon.com/HotDeal-Lakme-Insta-Intensee-Black/dp/B09VPX3DZB/ref=sr_1_4?crid=3MFUSBY30FHA4&keywords=lakme+eyeliner&qid=1667946275&sprefix=lakme+eyeliner%2Caps%2C107&sr=8-4,HotDeal Lakme Insta Deep Intensee Black Eye Liner 9 ml,0.3 Fl Oz (Pack of 1),5.0 out of 5 stars,7,$8.89,"FREE delivery Mon, Nov 14|",B09VPX3DZB,https://m.media-amazon.com/images/I/31XWMUUhXnL._AC_UL320_.jpg
https://www.amazon.com/Lakme-Insta-Intense-Black-Liner/dp/B09TRGCMNJ/ref=sr_1_5?crid=3MFUSBY30FHA4&keywords=lakme+eyeliner&qid=1667946275&sprefix=lakme+eyeliner%2Caps%2C107&sr=8-5,Lakme Insta Deep Intense Black Eye Liner 9 ml,0.3 Ounce (Pack of 1),4.2 out of 5 stars,5,$9.98,FREE delivery Dec 1 - 12,B09TRGCMNJ,https://m.media-amazon.com/images/I/31ONjbzE3PL._AC_UL320_.jpg
https://www.amazon.com/l-f-Cosmetics-retractable-eyeliner-waterproof/dp/B07MWSXPT1/ref=sr_1_6_mod_primary_new?crid=3MFUSBY30FHA4&keywords=lakme+eyeliner&qid=1667946275&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=lakme+eyeliner%2Caps%2C107&sr=8-6,"e.l.f. No Budge Retractable Eyeliner, Creamy, Ultra-Pigmented & Waterproof, Creates Bold & Defined Lines, Vegan & Cruelty-Free, Black 0.006 Oz",1 Count (Pack of 1),4.5 out of 5 stars,"8,444|Subscribe & Save|$4.00$4.00 ($4.00/Ounce)|$4.00$4.00 ($4.00/Ounce)|($4.00/Ounce)|Save more with Subscribe & Save|First Delivery Wed, Nov 9",$4.00,"One-DayFREE delivery Tomorrow, Nov 9 Or FREE delivery Overnight 4 AM - 8 AM on $35 of qualifying items|One-Day|First Delivery Wed, Nov 9",B07MWSXPT1,https://m.media-amazon.com/images/I/51iP+Zi8O5L._AC_UL320_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTcwNTUxMDg1NDQwMjYwOjE2Njc5NDYyNzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2Mjk3NzE0ODM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&url=%2FLOreal-Paris-Infallible-Precision-Waterproof%2Fdp%2FB09S8JWWZ3%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b05db705-0b89-4b8b-82f5-e767e46bfb6a%253Aamzn1.sym.b05db705-0b89-4b8b-82f5-e767e46bfb6a%26crid%3D3MFUSBY30FHA4%26cv_ct_cx%3Dlakme%2Beyeliner%26keywords%3Dlakme%2Beyeliner%26pd_rd_i%3DB09S8JWWZ3%26pd_rd_r%3D28e17501-4b53-4356-afb3-2e2ebc32ab67%26pd_rd_w%3D90mZ2%26pd_rd_wg%3DqOxFk%26pf_rd_p%3Db05db705-0b89-4b8b-82f5-e767e46bfb6a%26pf_rd_r%3DCDEW1PRWH28Z4YEKG7J9%26qid%3D1667946275%26sprefix%3Dlakme%2Beyeliner%252Caps%252C107%26sr%3D1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1,"L'Oreal Paris L’Oreal Paris Infallible Grip Precision Felt Eyeliner, Smudge Resistant, Long Lasting Waterproof Eyeliner, Black, Black, 0.03 fl oz",0.03 Fl Oz (Pack of 1),4.3 out of 5 stars|4.4 out of 5 stars|4.5 out of 5 stars|4.4 out of 5 stars|4.5 out of 5 stars,"659|53,767|21,807|31,420|9,607",$9.48,,,https://m.media-amazon.com/images/I/41eYnbYKfpL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/61UyrYQ2BrL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/51IVLCzdHYL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/61wWHwqf2EL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/41mBOfE5gTL._AC_UL320_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTcwNTUxMDg1NDQwMjYwOjE2Njc5NDYyNzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2Mjk3NzE0ODM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&url=%2FLOreal-Paris-Infallible-Precision-Waterproof%2Fdp%2FB09S8JWWZ3%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b05db705-0b89-4b8b-82f5-e767e46bfb6a%253Aamzn1.sym.b05db705-0b89-4b8b-82f5-e767e46bfb6a%26crid%3D3MFUSBY30FHA4%26cv_ct_cx%3Dlakme%2Beyeliner%26keywords%3Dlakme%2Beyeliner%26pd_rd_i%3DB09S8JWWZ3%26pd_rd_r%3D28e17501-4b53-4356-afb3-2e2ebc32ab67%26pd_rd_w%3D90mZ2%26pd_rd_wg%3DqOxFk%26pf_rd_p%3Db05db705-0b89-4b8b-82f5-e767e46bfb6a%26pf_rd_r%3DCDEW1PRWH28Z4YEKG7J9%26qid%3D1667946275%26sprefix%3Dlakme%2Beyeliner%252Caps%252C107%26sr%3D1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1,"L'Oreal Paris L’Oreal Paris Infallible Grip Precision Felt Eyeliner, Smudge Resistant, Long Lasting Waterproof Eyeliner, Black, Black, 0.03 fl oz",0.03 Fl Oz (Pack of 1),4.3 out of 5 stars,659,$9.48,,B09S8JWWZ3,https://m.media-amazon.com/images/I/41eYnbYKfpL._AC_UL320_.jpg
